node,degree_centrality,node_type
 antibiotic inactivation,0.701284198771636,resistance_mechanism
cephalosporin,0.6091568955890564,drug_class
carbapenem,0.42434394193188163,drug_class
Klebsiella pneumoniae,0.3690675600223339,bacteria
Pseudomonas aeruginosa,0.36515912897822445,bacteria
penam,0.36460078168620885,drug_class
Acinetobacter baumannii,0.30318257956448913,bacteria
Escherichia coli,0.28364042434394193,bacteria
monobactam,0.2116136236739252,drug_class
 antibiotic target alteration,0.10943606923506422,resistance_mechanism
 antibiotic efflux,0.10496929089893914,resistance_mechanism
aminoglycoside,0.09156895589056394,drug_class
penem,0.09045226130653267,drug_class
Staphylococcus aureus,0.0893355667225014,bacteria
cephamycin,0.08542713567839195,drug_class
fluoroquinolone,0.0843104410943607,drug_class
Enterococcus faecalis,0.06756002233389168,bacteria
tetracycline,0.06476828587381352,drug_class
macrolide,0.05806811836962591,drug_class
phenicol,0.05583472920156338,drug_class
peptide,0.05080960357342267,drug_class
diaminopyrimidine,0.04522613065326633,drug_class
Mycobacterium tuberculosis,0.04187604690117253,bacteria
disinfecting agents and antiseptics,0.04020100502512563,drug_class
glycopeptide,0.03461753210496929,drug_class
 antibiotic target replacement,0.031825795644891124,resistance_mechanism
Streptococcus pneumoniae,0.030709101060859854,bacteria
 antibiotic target protection,0.03015075376884422,resistance_mechanism
lincosamide,0.02680067001675042,drug_class
streptogramin,0.02512562814070352,drug_class
rifamycin,0.02233389168062535,drug_class
phosphonic acid,0.02121719709659408,drug_class
glycylcycline,0.02121719709659408,drug_class
aminocoumarin,0.01954215522054718,drug_class
streptogramin A,0.018425460636515914,drug_class
streptogramin B,0.013958682300390844,drug_class
Burkholderia pseudomallei,0.012841987716359575,bacteria
pleuromutilin,0.012283640424343942,drug_class
nucleoside,0.01172529313232831,drug_class
OprM,0.010050251256281407,resistance_gene
mexR,0.009491903964265774,resistance_gene
Pseudomonas aeruginosa CpxR,0.009491903964265774,resistance_gene
TolC,0.009491903964265774,resistance_gene
Escherichia coli soxS with mutation conferring antibiotic resistance,0.009491903964265774,resistance_gene
ArmR,0.00893355667225014,resistance_gene
MexA,0.00893355667225014,resistance_gene
sulfonamide,0.00893355667225014,drug_class
nalD,0.00893355667225014,resistance_gene
nalC,0.00893355667225014,resistance_gene
MexB,0.00893355667225014,resistance_gene
marA,0.00893355667225014,resistance_gene
ParS,0.008375209380234505,resistance_gene
oxazolidinone,0.008375209380234505,drug_class
ramA,0.008375209380234505,resistance_gene
ParR,0.008375209380234505,resistance_gene
TEM-116,0.0072585147962032385,resistance_gene
isoniazid-like,0.0072585147962032385,drug_class
adeN,0.0072585147962032385,resistance_gene
ErmB,0.0072585147962032385,resistance_gene
ErmC,0.006700167504187605,resistance_gene
Escherichia coli marR mutant conferring antibiotic resistance,0.006700167504187605,resistance_gene
nybomycin-like,0.006700167504187605,drug_class
adeJ,0.006700167504187605,resistance_gene
YajC,0.006700167504187605,resistance_gene
Mycobacterium tuberculosis 23S rRNA mutation conferring resistance to capreomycin,0.006700167504187605,resistance_gene
adeK,0.006700167504187605,resistance_gene
adeI,0.006700167504187605,resistance_gene
MexZ,0.006700167504187605,resistance_gene
mexY,0.006700167504187605,resistance_gene
Klebsiella pneumoniae ramR mutants,0.006141820212171971,resistance_gene
OprJ,0.006141820212171971,resistance_gene
cfrA,0.006141820212171971,resistance_gene
Escherichia coli soxR with mutation conferring antibiotic resistance,0.006141820212171971,resistance_gene
MexD,0.006141820212171971,resistance_gene
