node,betweeness_centrality,node_type
histone H3 deacetylation,0.0,biological_process
post-translational protein modification,0.0,biological_process
negative regulation of intracellular signal transduction,0.0,biological_process
negative regulation of cytokine production involved in immune response,0.0,biological_process
regulation of I-kappaB kinase/NF-kappaB signaling,0.0,biological_process
protein deacetylation,0.0,biological_process
negative regulation of oxidative stress-induced cell death,0.0,biological_process
cellular response to amyloid-beta,0.0,biological_process
negative regulation of glucose transmembrane transport,0.0,biological_process
positive regulation of metalloendopeptidase activity,0.0,biological_process
negative regulation of monooxygenase activity,0.0,biological_process
T cell receptor signaling pathway,0.0,biological_process
negative regulation of lamellipodium assembly,0.0,biological_process
negative regulation of cardiac muscle myoblast proliferation,0.0,biological_process
regulation of hematopoietic stem cell differentiation,0.0,biological_process
histone deacetylation,0.0,biological_process
negative regulation of cardiac muscle hypertrophy in response to stress,0.0,biological_process
regulation of endodeoxyribonuclease activity,0.0,biological_process
negative regulation of peptidyl-lysine acetylation,0.0,biological_process
pyrimidine dimer repair by nucleotide-excision repair,0.0,biological_process
rDNA heterochromatin assembly,0.0,biological_process
heterochromatin maintenance,0.0,biological_process
positive regulation of transcription by RNA polymerase II,0.0,biological_process
heart development,0.0,biological_process
cellular response to transforming growth factor beta stimulus,0.0,biological_process
regulation of bile acid biosynthetic process,0.0,biological_process
peptidyl-lysine acetylation,0.0,biological_process
heterochromatin assembly,0.0,biological_process
peptidyl-lysine deacetylation,0.0,biological_process
leptin-mediated signaling pathway,0.0,biological_process
positive regulation of adaptive immune response,0.0,biological_process
endothelial cell-matrix adhesion,0.0,biological_process
heart valve morphogenesis,0.0,biological_process
regulation of smooth muscle cell apoptotic process,0.0,biological_process
negative regulation of helicase activity,0.0,biological_process
ventricular cardiac muscle tissue development,0.0,biological_process
regulation of brown fat cell differentiation,0.0,biological_process
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,0.0,biological_process
positive regulation of nitric-oxide synthase activity,0.0,biological_process
positive regulation of protein localization to cell surface,0.0,biological_process
positive regulation of I-kappaB phosphorylation,0.0,biological_process
negative regulation of G2/M transition of mitotic cell cycle,0.0,biological_process
regulation of establishment of endothelial barrier,0.0,biological_process
positive regulation of ceramide biosynthetic process,0.0,biological_process
positive regulation of JNK cascade,0.0,biological_process
"negative regulation of transcription, DNA-templated",0.0,biological_process
regulation of cytokine production involved in immune response,0.0,biological_process
negative regulation of cardiac muscle cell differentiation,0.0,biological_process
regulation of reactive oxygen species metabolic process,0.0,biological_process
positive regulation of heterotypic cell-cell adhesion,0.0,biological_process
positive regulation of extrinsic apoptotic signaling pathway,0.0,biological_process
positive regulation of leukocyte adhesion to arterial endothelial cell,0.0,biological_process
negative regulation of vascular wound healing,0.0,biological_process
positive regulation of Schwann cell proliferation involved in axon regeneration,0.0,biological_process
negative regulation of TRAIL-activated apoptotic signaling pathway,0.0,biological_process
cardiac muscle tissue growth involved in heart morphogenesis,0.0,biological_process
death-inducing signaling complex assembly,0.0,biological_process
protein localization to plasma membrane,0.0,biological_process
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,0.0,biological_process
leukocyte tethering or rolling,0.0,biological_process
prostaglandin metabolic process,0.0,biological_process
regulation of tumor necrosis factor-mediated signaling pathway,0.0,biological_process
response to salt,0.0,biological_process
vein smooth muscle contraction,0.0,biological_process
phospholipase D-activating G protein-coupled receptor signaling pathway,0.0,biological_process
inositol phosphate-mediated signaling,0.0,biological_process
cellular response to epidermal growth factor stimulus,0.0,biological_process
cellular response to tumor necrosis factor,0.0,biological_process
spermatogenesis,0.0,biological_process
regulation of cytokinesis,0.0,biological_process
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,0.0,biological_process
phosphatidylinositol 3-kinase signaling,0.0,biological_process
leukocyte activation,0.0,biological_process
protein kinase C-activating G protein-coupled receptor signaling pathway,0.0,biological_process
male gonad development,0.0,biological_process
negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,0.0,biological_process
apoptotic mitochondrial changes,0.0,biological_process
cellular response to reactive oxygen species,0.0,biological_process
positive regulation of cell migration,0.0,biological_process
positive regulation of DNA-binding transcription factor activity,0.0,biological_process
positive regulation of cardiac muscle hypertrophy,0.0,biological_process
gene silencing by RNA,0.0,biological_process
positive regulation of NF-kappaB transcription factor activity,0.0,biological_process
negative regulation of angiogenesis,0.0,biological_process
positive regulation of connective tissue replacement,0.0,biological_process
positive regulation of mitochondrion organization,0.0,biological_process
response to cytokine,0.0,biological_process
defense response to virus,0.0,biological_process
release of cytochrome c from mitochondria,0.0,biological_process
negative regulation of cellular protein metabolic process,0.0,biological_process
negative regulation of intrinsic apoptotic signaling pathway,0.0,biological_process
positive regulation of intrinsic apoptotic signaling pathway,0.0,biological_process
mitochondrion morphogenesis,0.0,biological_process
negative regulation of release of cytochrome c from mitochondria,0.0,biological_process
regulation of mitochondrial membrane potential,0.0,biological_process
response to cycloheximide,0.0,biological_process
negative regulation of tumor necrosis factor production,0.0,biological_process
cell growth involved in cardiac muscle cell development,0.0,biological_process
negative regulation of interleukin-7 production,0.0,biological_process
microglial cell activation,0.0,biological_process
negative regulation of sodium ion transmembrane transport,0.0,biological_process
negative regulation of voltage-gated sodium channel activity,0.0,biological_process
negative regulation of interleukin-21 production,0.0,biological_process
negative regulation of cell-matrix adhesion,0.0,biological_process
negative regulation of I-kappaB kinase/NF-kappaB signaling,0.0,biological_process
negative regulation of cytokine production involved in inflammatory response,0.0,biological_process
positive regulation of odontogenesis,0.0,biological_process
cellular calcium ion homeostasis,0.0,biological_process
negative regulation of blood coagulation,0.0,biological_process
suppression by virus of host apoptotic process,0.0,biological_process
negative regulation of nitric-oxide synthase biosynthetic process,0.0,biological_process
positive regulation of nitric oxide biosynthetic process,0.0,biological_process
cellular response to glucocorticoid stimulus,0.0,biological_process
cell population proliferation,0.0,biological_process
positive regulation of smooth muscle cell proliferation,0.0,biological_process
MAPK cascade,0.0,biological_process
regulation of growth,0.0,biological_process
negative regulation of neuron apoptotic process,0.0,biological_process
positive regulation of signaling receptor activity,0.0,biological_process
branching involved in blood vessel morphogenesis,0.0,biological_process
dorsal/ventral pattern formation,0.0,biological_process
positive regulation of cytosolic calcium ion concentration,0.0,biological_process
nitric oxide transport,0.0,biological_process
negative regulation of smooth muscle cell apoptotic process,0.0,biological_process
respiratory gaseous exchange by respiratory system,0.0,biological_process
neural crest cell development,0.0,biological_process
positive regulation of mitotic nuclear division,0.0,biological_process
body fluid secretion,0.0,biological_process
negative regulation of hormone secretion,0.0,biological_process
membrane depolarization,0.0,biological_process
cellular response to calcium ion,0.0,biological_process
epithelial fluid transport,0.0,biological_process
response to endothelin,0.0,biological_process
cell-cell signaling,0.0,biological_process
hepatocyte apoptotic process,0.0,biological_process
cellular response to peptide hormone stimulus,0.0,biological_process
ovulation cycle process,0.0,biological_process
odontogenesis,0.0,biological_process
negative regulation of feeding behavior,0.0,biological_process
negative regulation of endothelial cell migration,0.0,biological_process
negative regulation of muscle hyperplasia,0.0,biological_process
