node,degree_centrality,node_type
gene silencing by miRNA,0.004020018049060628,biological_process
regulation of transcription by RNA polymerase II,0.002215111986217081,biological_process
positive regulation of transcription by RNA polymerase II,0.002215111986217081,biological_process
negative regulation of transcription by RNA polymerase II,0.0019689884321929607,biological_process
negative regulation of apoptotic process,0.001886947247518254,biological_process
positive regulation of cell population proliferation,0.0018049060628435474,biological_process
"positive regulation of transcription, DNA-templated",0.0017228648781688408,biological_process
response to drug,0.0017228648781688408,biological_process
glucose homeostasis,0.001640823693494134,biological_process
signal transduction,0.0015587825088194274,biological_process
positive regulation of gene expression,0.001394700139470014,biological_process
cytokine-mediated signaling pathway,0.0013126589547953072,biological_process
negative regulation of cell population proliferation,0.0013126589547953072,biological_process
positive regulation of protein phosphorylation,0.0013126589547953072,biological_process
positive regulation of protein kinase B signaling,0.0013126589547953072,biological_process
regulation of insulin secretion,0.0012306177701206006,biological_process
G protein-coupled receptor signaling pathway,0.0012306177701206006,biological_process
positive regulation of apoptotic process,0.0012306177701206006,biological_process
negative regulation of inflammatory response,0.001148576585445894,biological_process
negative regulation of gene expression,0.001066535400771187,biological_process
response to hypoxia,0.001066535400771187,biological_process
cell differentiation,0.001066535400771187,biological_process
"negative regulation of transcription, DNA-templated",0.0009844942160964804,biological_process
positive regulation of ERK1 and ERK2 cascade,0.0009844942160964804,biological_process
cellular response to insulin stimulus,0.0009844942160964804,biological_process
miRNA mediated inhibition of translation,0.0009844942160964804,biological_process
response to insulin,0.0009844942160964804,biological_process
regulation of blood pressure,0.0009024530314217737,biological_process
"regulation of transcription, DNA-templated",0.0009024530314217737,biological_process
inflammatory response,0.0009024530314217737,biological_process
glucose metabolic process,0.0009024530314217737,biological_process
response to ethanol,0.0009024530314217737,biological_process
positive regulation of glucose import,0.000820411846747067,biological_process
positive regulation of blood vessel endothelial cell migration,0.000820411846747067,biological_process
response to hydrogen peroxide,0.000820411846747067,biological_process
cellular response to hypoxia,0.000820411846747067,biological_process
response to estradiol,0.000820411846747067,biological_process
response to lipopolysaccharide,0.000820411846747067,biological_process
aging,0.000820411846747067,biological_process
MAPK cascade,0.000820411846747067,biological_process
negative regulation of neuron apoptotic process,0.0007383706620723603,biological_process
cell surface receptor signaling pathway,0.0007383706620723603,biological_process
cellular response to tumor necrosis factor,0.0007383706620723603,biological_process
heart development,0.0007383706620723603,biological_process
apoptotic process,0.0007383706620723603,biological_process
