node,betweeness_centrality,node_type
Increased antibiotic exposure,0.1915215700688847,effect/phenotype
Recurrent bacterial infections,0.12404516952464101,effect/phenotype
Increased risk of pathogen mutation,0.06740165615913188,effect/phenotype
Hyperglycemia,0.067387235482358,effect/phenotype
Recurrent bacterial skin infections,0.06174695689760509,effect/phenotype
Recurrent infections,0.0019181476464023507,effect/phenotype
Peripheral neuropathy,0.0004910108822969243,effect/phenotype
obesity disorder,0.0001557579414350164,effect/phenotype
Autosomal dominant inheritance,0.00015367576682996013,effect/phenotype
Recurrent streptococcus pneumoniae infections,3.258866271892341e-05,effect/phenotype
Recurrent Staphylococcus aureus infections,2.6458005795825384e-05,effect/phenotype
Recurrent Klebsiella infections,2.576944626075777e-05,effect/phenotype
Insulin resistance,7.131736630444036e-06,effect/phenotype
Recurrent lower respiratory tract infections,4.900349529576195e-06,effect/phenotype
Glucose intolerance,4.183508063286037e-06,effect/phenotype
Recurrent sinopulmonary infections,9.660070389547131e-07,effect/phenotype
Increased body weight,8.025514248642173e-07,effect/phenotype
Abnormality of the dentition,6.973635323514615e-07,effect/phenotype
Respiratory tract infection,9.541765597588161e-08,effect/phenotype
Adult onset,7.089587536204763e-08,effect/phenotype
Skin ulcer,1.0497635449765752e-08,effect/phenotype
Cachexia,0.0,effect/phenotype
Fasting hypoglycemia,0.0,effect/phenotype
Cerebral edema,0.0,effect/phenotype
Nausea,0.0,effect/phenotype
Cardiorespiratory arrest,0.0,effect/phenotype
Fever,0.0,effect/phenotype
Poor wound healing,0.0,effect/phenotype
Recurrent ear infections,0.0,effect/phenotype
Recurrent mycobacterial infections,0.0,effect/phenotype
Recurrent gram-negative bacterial infections,0.0,effect/phenotype
Recurrent streptococcal infections,0.0,effect/phenotype
Recurrent respiratory infections,0.0,effect/phenotype
Pain,0.0,effect/phenotype
Ventricular extrasystoles,0.0,effect/phenotype
Globozoospermia,0.0,effect/phenotype
Intrauterine growth retardation,0.0,effect/phenotype
Hypoxemia,0.0,effect/phenotype
Abnormality of chromosome stability,0.0,effect/phenotype
Edema,0.0,effect/phenotype
Anasarca,0.0,effect/phenotype
Albuminuria,0.0,effect/phenotype
Skeletal muscle atrophy,0.0,effect/phenotype
Pulmonary edema,0.0,effect/phenotype
Allergy,0.0,effect/phenotype
Abnormal glucose homeostasis,0.0,effect/phenotype
Abnormal peripheral nervous system morphology,0.0,effect/phenotype
Abnormal waist to hip ratio,0.0,effect/phenotype
Decreased liver function,0.0,effect/phenotype
Elevated hepatic transaminase,0.0,effect/phenotype
Hearing impairment,0.0,effect/phenotype
Mode of inheritance,0.0,effect/phenotype
Cerebral hemorrhage,0.0,effect/phenotype
Focal-onset seizure,0.0,effect/phenotype
Seizure,0.0,effect/phenotype
Allodynia,0.0,effect/phenotype
Bradycardia,0.0,effect/phenotype
Cardiomegaly,0.0,effect/phenotype
Preeclampsia,0.0,effect/phenotype
Toxemia of pregnancy,0.0,effect/phenotype
Premature birth,0.0,effect/phenotype
Arrhythmia,0.0,effect/phenotype
Pulmonary arterial hypertension,0.0,effect/phenotype
Urinary retention,0.0,effect/phenotype
Neonatal insulin-dependent diabetes mellitus,0.0,effect/phenotype
Recurrent staphylococcal infections,0.0,effect/phenotype
Abnormality of extrapyramidal motor function,0.0,effect/phenotype
Recurrent upper respiratory tract infections,0.0,effect/phenotype
Recurrent Serratia marcescens infections,0.0,effect/phenotype
Recurrent infections due to aspiration,0.0,effect/phenotype
Recurrent Burkholderia cepacia infections,0.0,effect/phenotype
Respiratory infections in early life,0.0,effect/phenotype
Reticulocytosis,0.0,effect/phenotype
Maternal diabetes,0.0,effect/phenotype
Endocardial fibrosis,0.0,effect/phenotype
Methylmalonic acidemia,0.0,effect/phenotype
Chromosome breakage,0.0,effect/phenotype
Recurrent mycobacterium avium complex infections,0.0,effect/phenotype
Recurrent systemic pyogenic infections,0.0,effect/phenotype
Recurrent Haemophilus influenzae infections,0.0,effect/phenotype
Recurrent Neisserial infections,0.0,effect/phenotype
Recurrent bronchopulmonary infections,0.0,effect/phenotype
Recurrent acute respiratory tract infection,0.0,effect/phenotype
Spontaneous abortion,0.0,effect/phenotype
Cardiogenic shock,0.0,effect/phenotype
Abnormality of connective tissue,0.0,effect/phenotype
Bloodstream infectious agent,0.0,effect/phenotype
Abnormality of the urinary system physiology,0.0,effect/phenotype
Abnormality of the gingiva,0.0,effect/phenotype
Coma,0.0,effect/phenotype
Paralysis,0.0,effect/phenotype
Colonic inertia,0.0,effect/phenotype
Abnormal facial shape,0.0,effect/phenotype
Abnormality of redox activity,0.0,effect/phenotype
Abnormality of the auditory canal,0.0,effect/phenotype
Abnormal blood glucose concentration,0.0,effect/phenotype
Abnormality of musculoskeletal physiology,0.0,effect/phenotype
Hepatomegaly,0.0,effect/phenotype
Splenomegaly,0.0,effect/phenotype
Abnormality of the endocrine system,0.0,effect/phenotype
Hyperkinetic movements,0.0,effect/phenotype
Postprandial hyperglycemia,0.0,effect/phenotype
Tachycardia,0.0,effect/phenotype
Hypothermia,0.0,effect/phenotype
Astrocytosis,0.0,effect/phenotype
Gliosis,0.0,effect/phenotype
Short toe,0.0,effect/phenotype
High urinary gonadotropin level,0.0,effect/phenotype
Increased upper to lower segment ratio,0.0,effect/phenotype
Abnormal forearm bone morphology,0.0,effect/phenotype
Enlarged thorax,0.0,effect/phenotype
Short sternum,0.0,effect/phenotype
Melanocytic nevus,0.0,effect/phenotype
Atypical scarring of skin,0.0,effect/phenotype
Neoplasm of the anterior pituitary,0.0,effect/phenotype
Intracranial cystic lesion,0.0,effect/phenotype
Headache,0.0,effect/phenotype
Abnormality of the ovary,0.0,effect/phenotype
Abnormality of the nasal bone,0.0,effect/phenotype
Polydipsia,0.0,effect/phenotype
Dyssynergia,0.0,effect/phenotype
Myotonia,0.0,effect/phenotype
Sensory ataxia,0.0,effect/phenotype
Polyuria,0.0,effect/phenotype
Papilledema,0.0,effect/phenotype
Nausea and vomiting,0.0,effect/phenotype
Incoordination,0.0,effect/phenotype
Stomatocytosis,0.0,effect/phenotype
Paroxysmal choreoathetosis,0.0,effect/phenotype
Recurrent skin infections,0.0,effect/phenotype
Aortic arch aneurysm,0.0,effect/phenotype
Hypopituitarism,0.0,effect/phenotype
Abnormal hypothalamus morphology,0.0,effect/phenotype
Slow decrease in visual acuity,0.0,effect/phenotype
Enlarged pituitary gland,0.0,effect/phenotype
Spastic gait,0.0,effect/phenotype
Steppage gait,0.0,effect/phenotype
Truncal ataxia,0.0,effect/phenotype
Waddling gait,0.0,effect/phenotype
Mitochondrial myopathy,0.0,effect/phenotype
Skeletal myopathy,0.0,effect/phenotype
Dementia,0.0,effect/phenotype
Progressive proximal muscle weakness,0.0,effect/phenotype
Mitochondrial inheritance,0.0,effect/phenotype
Proximal amyotrophy,0.0,effect/phenotype
Bilateral tonic-clonic seizure with focal onset,0.0,effect/phenotype
Delirium,0.0,effect/phenotype
Achilles tendon contracture,0.0,effect/phenotype
Peripheral axonal neuropathy,0.0,effect/phenotype
Myoclonic seizure,0.0,effect/phenotype
Abnormality of the urinary system,0.0,effect/phenotype
Abnormality of the nervous system,0.0,effect/phenotype
Abnormality of limbs,0.0,effect/phenotype
Bilateral ptosis,0.0,effect/phenotype
Abnormality of the frontal bone,0.0,effect/phenotype
Vertigo,0.0,effect/phenotype
Abnormal spermatogenesis,0.0,effect/phenotype
Hyperactive deep tendon reflexes,0.0,effect/phenotype
Postural instability,0.0,effect/phenotype
Head tremor,0.0,effect/phenotype
Abnormality of ocular abduction,0.0,effect/phenotype
Adducted thumb,0.0,effect/phenotype
Limb dysmetria,0.0,effect/phenotype
Difficulty running,0.0,effect/phenotype
Weakness of facial musculature,0.0,effect/phenotype
Tip-toe gait,0.0,effect/phenotype
EMG: myopathic abnormalities,0.0,effect/phenotype
Pustule,0.0,effect/phenotype
Retinal vasculitis,0.0,effect/phenotype
Pelvic girdle muscle weakness,0.0,effect/phenotype
Chronic sensorineural polyneuropathy,0.0,effect/phenotype
Congenital peripheral neuropathy,0.0,effect/phenotype
Demyelinating peripheral neuropathy,0.0,effect/phenotype
Increased waist to hip ratio,0.0,effect/phenotype
Functional motor deficit,0.0,effect/phenotype
Impaired proprioception,0.0,effect/phenotype
Abnormal motor evoked potentials,0.0,effect/phenotype
Broad philtrum,0.0,effect/phenotype
Proximal muscle weakness,0.0,effect/phenotype
Exercise intolerance,0.0,effect/phenotype
Shoulder girdle muscle weakness,0.0,effect/phenotype
Difficulty climbing stairs,0.0,effect/phenotype
Wide nasal base,0.0,effect/phenotype
Pituitary hypothyroidism,0.0,effect/phenotype
Sternocleidomastoid amyotrophy,0.0,effect/phenotype
Prominent metopic ridge,0.0,effect/phenotype
Dehydration,0.0,effect/phenotype
Severe failure to thrive,0.0,effect/phenotype
Recurrent cutaneous fungal infections,0.0,effect/phenotype
Respiratory distress,0.0,effect/phenotype
Eyelid coloboma,0.0,effect/phenotype
Hypoplasia of the fovea,0.0,effect/phenotype
Paresthesia,0.0,effect/phenotype
Decreased body weight,0.0,effect/phenotype
Weight loss,0.0,effect/phenotype
Right ventricular outlet tract obstruction,0.0,effect/phenotype
Hyperkalemia,0.0,effect/phenotype
Dysesthesia,0.0,effect/phenotype
Phonic tics,0.0,effect/phenotype
Unsteady gait,0.0,effect/phenotype
Shuffling gait,0.0,effect/phenotype
Scissor gait,0.0,effect/phenotype
Short stature,0.0,effect/phenotype
Motor tics,0.0,effect/phenotype
Ketonuria,0.0,effect/phenotype
Tritanomaly,0.0,effect/phenotype
Cystoid macular degeneration,0.0,effect/phenotype
Red-green dyschromatopsia,0.0,effect/phenotype
Posterior staphyloma,0.0,effect/phenotype
Cone dystrophy,0.0,effect/phenotype
Retinal thinning,0.0,effect/phenotype
Renal insufficiency,0.0,effect/phenotype
Hyperextensibility of the finger joints,0.0,effect/phenotype
Broad-based gait,0.0,effect/phenotype
Profound hearing impairment,0.0,effect/phenotype
Peripheral retinal atrophy,0.0,effect/phenotype
Cone/cone-rod dystrophy,0.0,effect/phenotype
Cystoid macular edema,0.0,effect/phenotype
Peripapillary chorioretinal atrophy,0.0,effect/phenotype
Central scotoma,0.0,effect/phenotype
