node,degree_centrality,node_type
Increased antibiotic exposure,0.14242349659529083,effect/phenotype
obesity disorder,0.01739273115103782,effect/phenotype
Insulin resistance,0.005496759373205349,effect/phenotype
Hyperglycemia,0.003035523832964148,effect/phenotype
Peripheral neuropathy,0.002133070801542374,effect/phenotype
Seizure,0.001886947247518254,effect/phenotype
Hepatomegaly,0.0015587825088194274,effect/phenotype
Autosomal dominant inheritance,0.0014767413241447206,effect/phenotype
Elevated hepatic transaminase,0.0013126589547953072,effect/phenotype
Recurrent respiratory infections,0.0013126589547953072,effect/phenotype
Autosomal recessive inheritance,0.0012306177701206006,effect/phenotype
Postprandial hyperglycemia,0.001148576585445894,effect/phenotype
Cardiomegaly,0.0009844942160964804,effect/phenotype
Hearing impairment,0.0009844942160964804,effect/phenotype
Intellectual disability,0.0009024530314217737,effect/phenotype
Neurodegeneration,0.000820411846747067,effect/phenotype
Recurrent bacterial infections,0.000820411846747067,effect/phenotype
Global developmental delay,0.000820411846747067,effect/phenotype
Intrauterine growth retardation,0.000820411846747067,effect/phenotype
Increased body weight,0.0007383706620723603,effect/phenotype
Pulmonary arterial hypertension,0.0007383706620723603,effect/phenotype
Growth delay,0.0007383706620723603,effect/phenotype
Recurrent infections,0.0007383706620723603,effect/phenotype
Focal-onset seizure,0.0007383706620723603,effect/phenotype
Short stature,0.0006563294773976536,effect/phenotype
Strabismus,0.0006563294773976536,effect/phenotype
Decreased liver function,0.0006563294773976536,effect/phenotype
Splenomegaly,0.0006563294773976536,effect/phenotype
Dysarthria,0.0006563294773976536,effect/phenotype
Generalized hypotonia,0.0006563294773976536,effect/phenotype
Failure to thrive,0.0006563294773976536,effect/phenotype
Hypotonia,0.0006563294773976536,effect/phenotype
Proteinuria,0.000574288292722947,effect/phenotype
Type I diabetes mellitus,0.000574288292722947,effect/phenotype
Infantile onset,0.000574288292722947,effect/phenotype
Ataxia,0.000574288292722947,effect/phenotype
Maternal diabetes,0.000574288292722947,effect/phenotype
Epicanthus,0.000574288292722947,effect/phenotype
Micrognathia,0.000574288292722947,effect/phenotype
Fever,0.000574288292722947,effect/phenotype
Weight loss,0.000574288292722947,effect/phenotype
Premature birth,0.000574288292722947,effect/phenotype
Delayed speech and language development,0.000574288292722947,effect/phenotype
Cirrhosis,0.000574288292722947,effect/phenotype
Visual impairment,0.0004922471080482402,effect/phenotype
Delayed puberty,0.0004922471080482402,effect/phenotype
Recurrent gram-negative bacterial infections,0.0004922471080482402,effect/phenotype
Cerebral hemorrhage,0.0004922471080482402,effect/phenotype
"Intellectual disability, mild",0.0004922471080482402,effect/phenotype
Delayed skeletal maturation,0.0004922471080482402,effect/phenotype
Postnatal growth retardation,0.0004922471080482402,effect/phenotype
Autoimmunity,0.0004922471080482402,effect/phenotype
Frontal bossing,0.0004922471080482402,effect/phenotype
Motor delay,0.0004922471080482402,effect/phenotype
Recurrent Staphylococcus aureus infections,0.0004922471080482402,effect/phenotype
Hepatic steatosis,0.0004922471080482402,effect/phenotype
Osteopenia,0.0004922471080482402,effect/phenotype
High palate,0.0004922471080482402,effect/phenotype
Retinal degeneration,0.0004922471080482402,effect/phenotype
Edema,0.0004922471080482402,effect/phenotype
Anasarca,0.0004922471080482402,effect/phenotype
Allergy,0.0004922471080482402,effect/phenotype
Behavioral abnormality,0.0004102059233735335,effect/phenotype
Optic atrophy,0.0004102059233735335,effect/phenotype
Hepatosplenomegaly,0.0004102059233735335,effect/phenotype
Hypogonadism,0.0004102059233735335,effect/phenotype
Wide nasal bridge,0.0004102059233735335,effect/phenotype
Polyphagia,0.0004102059233735335,effect/phenotype
Flexion contracture,0.0004102059233735335,effect/phenotype
Atrial septal defect,0.0004102059233735335,effect/phenotype
Malabsorption,0.0004102059233735335,effect/phenotype
Short neck,0.0004102059233735335,effect/phenotype
Muscle weakness,0.0004102059233735335,effect/phenotype
Attention deficit hyperactivity disorder,0.0004102059233735335,effect/phenotype
Heterogeneous,0.0004102059233735335,effect/phenotype
Osteoporosis,0.0004102059233735335,effect/phenotype
Tremor,0.0004102059233735335,effect/phenotype
Male infertility,0.0004102059233735335,effect/phenotype
Glucose intolerance,0.0004102059233735335,effect/phenotype
Fasting hypoglycemia,0.0004102059233735335,effect/phenotype
Skeletal muscle atrophy,0.0004102059233735335,effect/phenotype
Focal sensory seizure,0.0004102059233735335,effect/phenotype
Decreased body weight,0.0004102059233735335,effect/phenotype
Female infertility,0.0004102059233735335,effect/phenotype
Genu valgum,0.0004102059233735335,effect/phenotype
Spasticity,0.0004102059233735335,effect/phenotype
Depressivity,0.0004102059233735335,effect/phenotype
Kyphosis,0.0003281647386988268,effect/phenotype
Hip dysplasia,0.0003281647386988268,effect/phenotype
Babinski sign,0.0003281647386988268,effect/phenotype
Limb ataxia,0.0003281647386988268,effect/phenotype
Coarse facial features,0.0003281647386988268,effect/phenotype
Abnormality of chromosome stability,0.0003281647386988268,effect/phenotype
Coma,0.0003281647386988268,effect/phenotype
Recurrent bacterial skin infections,0.0003281647386988268,effect/phenotype
Recurrent streptococcus pneumoniae infections,0.0003281647386988268,effect/phenotype
Tachycardia,0.0003281647386988268,effect/phenotype
Hypothermia,0.0003281647386988268,effect/phenotype
Respiratory tract infection,0.0003281647386988268,effect/phenotype
Recurrent Klebsiella infections,0.0003281647386988268,effect/phenotype
Recurrent ear infections,0.0003281647386988268,effect/phenotype
Recurrent mycobacterial infections,0.0003281647386988268,effect/phenotype
Allodynia,0.0003281647386988268,effect/phenotype
Albuminuria,0.0003281647386988268,effect/phenotype
Pulmonary edema,0.0003281647386988268,effect/phenotype
Gliosis,0.0003281647386988268,effect/phenotype
Retinal atrophy,0.0003281647386988268,effect/phenotype
Memory impairment,0.0003281647386988268,effect/phenotype
Neonatal onset,0.0003281647386988268,effect/phenotype
Abnormality of the dentition,0.0003281647386988268,effect/phenotype
Retrognathia,0.0003281647386988268,effect/phenotype
Depressed nasal bridge,0.0003281647386988268,effect/phenotype
Hepatic fibrosis,0.0003281647386988268,effect/phenotype
Hyporeflexia,0.0003281647386988268,effect/phenotype
Delayed social development,0.0003281647386988268,effect/phenotype
Vitiligo,0.0003281647386988268,effect/phenotype
Alopecia,0.0003281647386988268,effect/phenotype
Fatigue,0.0003281647386988268,effect/phenotype
Recurrent otitis media,0.0003281647386988268,effect/phenotype
Clinodactyly of the 5th finger,0.0003281647386988268,effect/phenotype
Insulin-resistant diabetes mellitus,0.0003281647386988268,effect/phenotype
Low-set ears,0.0003281647386988268,effect/phenotype
Photophobia,0.0003281647386988268,effect/phenotype
Upslanted palpebral fissure,0.0003281647386988268,effect/phenotype
Anteverted nares,0.0003281647386988268,effect/phenotype
Prominent forehead,0.0003281647386988268,effect/phenotype
Micropenis,0.0003281647386988268,effect/phenotype
Hypothyroidism,0.0003281647386988268,effect/phenotype
Hypermetropia,0.0003281647386988268,effect/phenotype
Pectus carinatum,0.0003281647386988268,effect/phenotype
Neurodevelopmental delay,0.0003281647386988268,effect/phenotype
Cerebellar atrophy,0.0003281647386988268,effect/phenotype
Infertility,0.0003281647386988268,effect/phenotype
Pes planus,0.0003281647386988268,effect/phenotype
Gait disturbance,0.0003281647386988268,effect/phenotype
Celiac disease,0.0003281647386988268,effect/phenotype
Abnormal fingernail morphology,0.0003281647386988268,effect/phenotype
Unsteady gait,0.0003281647386988268,effect/phenotype
Specific learning disability,0.0003281647386988268,effect/phenotype
Optic disc pallor,0.0003281647386988268,effect/phenotype
Anxiety,0.0003281647386988268,effect/phenotype
Macroglossia,0.0003281647386988268,effect/phenotype
Progressive cerebellar ataxia,0.0002461235540241201,effect/phenotype
Adult onset,0.0002461235540241201,effect/phenotype
Cerebral edema,0.0002461235540241201,effect/phenotype
Cachexia,0.0002461235540241201,effect/phenotype
Diabetic ketoacidosis,0.0002461235540241201,effect/phenotype
Failure to thrive in infancy,0.0002461235540241201,effect/phenotype
Blindness,0.0002461235540241201,effect/phenotype
Cerebral calcification,0.0002461235540241201,effect/phenotype
Short palpebral fissure,0.0002461235540241201,effect/phenotype
Low posterior hairline,0.0002461235540241201,effect/phenotype
Frequent falls,0.0002461235540241201,effect/phenotype
Biliary cirrhosis,0.0002461235540241201,effect/phenotype
Hyporeflexia of upper limbs,0.0002461235540241201,effect/phenotype
Pes cavus,0.0002461235540241201,effect/phenotype
Absent speech,0.0002461235540241201,effect/phenotype
Hashimoto thyroiditis,0.0002461235540241201,effect/phenotype
Constriction of peripheral visual field,0.0002461235540241201,effect/phenotype
Dysphagia,0.0002461235540241201,effect/phenotype
Aplasia/Hypoplasia of the cerebellum,0.0002461235540241201,effect/phenotype
Inability to walk,0.0002461235540241201,effect/phenotype
Abnormal facial shape,0.0002461235540241201,effect/phenotype
Ectopic kidney,0.0002461235540241201,effect/phenotype
"Intellectual disability, moderate",0.0002461235540241201,effect/phenotype
Increased circulating gonadotropin level,0.0002461235540241201,effect/phenotype
Atypical scarring of skin,0.0002461235540241201,effect/phenotype
Recurrent lower respiratory tract infections,0.0002461235540241201,effect/phenotype
Recurrent sinopulmonary infections,0.0002461235540241201,effect/phenotype
Truncal ataxia,0.0002461235540241201,effect/phenotype
Preeclampsia,0.0002461235540241201,effect/phenotype
Toxemia of pregnancy,0.0002461235540241201,effect/phenotype
Pain,0.0002461235540241201,effect/phenotype
Webbed neck,0.0002461235540241201,effect/phenotype
Hypoplasia of penis,0.0002461235540241201,effect/phenotype
Hydrocephalus,0.0002461235540241201,effect/phenotype
Pancytopenia,0.0002461235540241201,effect/phenotype
Prolonged neonatal jaundice,0.0002461235540241201,effect/phenotype
Short philtrum,0.0002461235540241201,effect/phenotype
Neurological speech impairment,0.0002461235540241201,effect/phenotype
Clinodactyly,0.0002461235540241201,effect/phenotype
Abdominal pain,0.0002461235540241201,effect/phenotype
Multiple cafe-au-lait spots,0.0002461235540241201,effect/phenotype
Brachycephaly,0.0002461235540241201,effect/phenotype
Broad neck,0.0002461235540241201,effect/phenotype
Cerebral atrophy,0.0002461235540241201,effect/phenotype
Generalized hirsutism,0.0002461235540241201,effect/phenotype
Abnormal pyramidal sign,0.0002461235540241201,effect/phenotype
Prominent nose,0.0002461235540241201,effect/phenotype
Hirsutism,0.0002461235540241201,effect/phenotype
Feeding difficulties,0.0002461235540241201,effect/phenotype
Patent ductus arteriosus,0.0002461235540241201,effect/phenotype
"High, narrow palate",0.0002461235540241201,effect/phenotype
Long foot,0.0002461235540241201,effect/phenotype
Premature ovarian insufficiency,0.0002461235540241201,effect/phenotype
Impaired smooth pursuit,0.0002461235540241201,effect/phenotype
Infantile muscular hypotonia,0.0002461235540241201,effect/phenotype
Tall stature,0.0002461235540241201,effect/phenotype
Lower limb hyperreflexia,0.0002461235540241201,effect/phenotype
Cerebral cortical atrophy,0.0002461235540241201,effect/phenotype
Small for gestational age,0.0002461235540241201,effect/phenotype
Congestive heart failure,0.0002461235540241201,effect/phenotype
Relative macrocephaly,0.0002461235540241201,effect/phenotype
Thickened calvaria,0.0002461235540241201,effect/phenotype
Cubitus valgus,0.0002461235540241201,effect/phenotype
External ophthalmoplegia,0.0002461235540241201,effect/phenotype
Myalgia,0.0002461235540241201,effect/phenotype
Dysmetria,0.0002461235540241201,effect/phenotype
Coarctation of aorta,0.0002461235540241201,effect/phenotype
Gait ataxia,0.0002461235540241201,effect/phenotype
Posteriorly rotated ears,0.0002461235540241201,effect/phenotype
Delayed eruption of teeth,0.0002461235540241201,effect/phenotype
Mandibular prognathia,0.0002461235540241201,effect/phenotype
Slurred speech,0.0002461235540241201,effect/phenotype
Abnormality of eye movement,0.0002461235540241201,effect/phenotype
Bicuspid aortic valve,0.0002461235540241201,effect/phenotype
Abnormal dermatoglyphics,0.0002461235540241201,effect/phenotype
Wide intermamillary distance,0.0002461235540241201,effect/phenotype
Truncal obesity,0.0002461235540241201,effect/phenotype
Hepatitis,0.0002461235540241201,effect/phenotype
Hypergonadotropic hypogonadism,0.0002461235540241201,effect/phenotype
Jaundice,0.0002461235540241201,effect/phenotype
Primary amenorrhea,0.0002461235540241201,effect/phenotype
Narrow forehead,0.0002461235540241201,effect/phenotype
