node,betweeness_centrality,node_type
ETS1,0.0117727130078189,gene/protein
RELA,0.005308070139536568,gene/protein
type 2 diabetes mellitus,0.0050682024653943515,disease
UBC,0.004972769407021046,gene/protein
X-linked intellectual disability,0.004838565113749333,disease
NFKB1,0.004581574950921495,gene/protein
EGFR,0.004375823992910721,gene/protein
SOD1,0.004013845533640048,gene/protein
Immunodeficiency,0.0038255261494082467,immune_effect/phenotype
HNF4A,0.003513809461107816,gene/protein
SIRT1,0.003103453850108164,gene/protein
TNF,0.002840048548622717,gene/protein
TGFB1,0.002165698015126895,gene/protein
PPARG,0.0021225190503230927,gene/protein
diabetes mellitus (disease),0.001989588336706413,disease
hepatocellular carcinoma,0.0017696929546520157,disease
TNFRSF1A,0.0017596397085084144,gene/protein
autosomal recessive spinocerebellar ataxia,0.001628755830517506,disease
PTPN1,0.0016194742362976135,gene/protein
PAX6,0.0015107407715766164,gene/protein
PPARGC1A,0.0014682053320987409,gene/protein
PRKCB,0.0014093084621502867,gene/protein
BCL2L11,0.001367754523415539,gene/protein
retinitis pigmentosa,0.0013566230581585005,disease
PSMD6,0.001290643658939488,gene/protein
INSR,0.0011915835228046082,gene/protein
HMGA1,0.0011173603404865016,gene/protein
UBE2E2,0.0011007935269671946,gene/protein
MTNR1B,0.00098403009850958,gene/protein
ADIPOQ,0.000976511741703972,gene/protein
PPARA,0.0009372108413493096,gene/protein
SOD2,0.0009120267979098937,gene/protein
ID1,0.0009084324560144372,gene/protein
HMGA2,0.000885523102242001,gene/protein
HNF1A,0.0008736374639495868,gene/protein
NOS3,0.0008254516898742177,gene/protein
IRS2,0.0007255930004568717,gene/protein
VPS26A,0.0007117926331733544,gene/protein
SMAD5,0.0006897463953007651,gene/protein
CASP8,0.0006882302688400427,gene/protein
USP27X,0.0006855949041099068,gene/protein
HMG20A,0.0006766726163362016,gene/protein
lipodystrophy,0.0006751344137226898,disease
myopathy and diabetes mellitus,0.0006640706290555698,disease
STUB1,0.0006048197243350729,gene/protein
SNAP25,0.0005950380126473013,gene/protein
STAT3,0.0005932310661788642,gene/protein
GLP1R,0.0005892457319488331,gene/protein
VWA3B,0.0005810460654708142,gene/protein
NOTCH2,0.0005785545504459484,gene/protein
TCF7L2,0.0005751632914066784,gene/protein
TAF1,0.0005584315643555463,gene/protein
PRKCA,0.0005555831647826801,gene/protein
INS,0.0005517017234505666,gene/protein
NOS2,0.0005279862792695772,gene/protein
monosomy X,0.0005221719587303817,disease
IRS1,0.0005056231486060599,gene/protein
microcephalic osteodysplastic primordial dwarfism,0.0004895883598483575,disease
PIN1,0.0004864152032084182,gene/protein
SLC30A8,0.0004634466539736615,gene/protein
SMAD3,0.0004576572400779437,gene/protein
GATA2,0.00045297854849645375,gene/protein
MID2,0.00043486838755207305,gene/protein
CASP3,0.00042938858196735696,gene/protein
TCF4,0.000414910745855882,gene/protein
Peripheral neuropathy,0.0004136557142274136,effect/phenotype
WFS1,0.00040478769183421306,gene/protein
JUN,0.0004024303322717177,gene/protein
AURKA,0.0004024074358576655,gene/protein
ICAM1,0.0004002340627885191,gene/protein
CNKSR2,0.0003778994902082036,gene/protein
maturity-onset diabetes of the young,0.0003752234273471991,disease
EGR1,0.00037306597305524706,gene/protein
INPPL1,0.0003535569972475091,gene/protein
GNB3,0.0003488157009927212,gene/protein
CERKL,0.00033718947147893494,gene/protein
maternally-inherited diabetes and deafness,0.0003369554496323999,disease
NFYC,0.00033675288667302667,gene/protein
neonatal diabetes mellitus,0.0003352187572541133,disease
TNFRSF1B,0.000333183115312093,gene/protein
NFATC2,0.00032676855990299133,gene/protein
PRKDC,0.0003223181704705525,gene/protein
RNF6,0.00031353233334901906,gene/protein
VIM,0.0003019164267931106,gene/protein
MYC,0.0002991036837566711,gene/protein
HUWE1,0.0002982035928073777,gene/protein
YBX1,0.0002900213514647287,gene/protein
MAEA,0.00028747572181364773,gene/protein
SFRP4,0.00028564559356105963,gene/protein
melioidosis,0.00028534111671977267,disease
CISD2,0.000277733539365268,gene/protein
SHBG,0.0002741339694573607,gene/protein
FTO,0.00027212698151662023,gene/protein
REST,0.00026988569794810657,gene/protein
PCNT,0.00026909554257794564,gene/protein
MAPK8IP1,0.0002659004321437842,gene/protein
NEUROD1,0.0002657048667304504,gene/protein
ATF3,0.00026427848764226273,gene/protein
PKP2,0.00026228814936308235,gene/protein
PROX1,0.00025635682745717283,gene/protein
USP9X,0.00025446771486919333,gene/protein
SUMO2,0.0002527701562791017,gene/protein
SMAD4,0.00025266314019173396,gene/protein
EP300,0.00024998927469526875,gene/protein
RPS6KA3,0.00024519595025566113,gene/protein
ECE1,0.0002444635924809883,gene/protein
congenital bile acid synthesis defect,0.00024349949649561588,disease
SNAI1,0.00024206511776084043,gene/protein
SLC2A1,0.00023822817873173,gene/protein
NFKBIA,0.00023809846032487922,gene/protein
TIMP1,0.00023420240581807397,gene/protein
SP1,0.00023377002291213376,gene/protein
HNF1B,0.00023289114868936506,gene/protein
YWHAB,0.00022921525831985418,gene/protein
STAT1,0.00022810299398339043,gene/protein
KCNQ1,0.00022485712852657439,gene/protein
UCP2,0.00022053207769324605,gene/protein
RNU4ATAC,0.00021904953830046084,gene/protein
ABCD3,0.00021827947082265014,gene/protein
HP,0.00021547086461139644,gene/protein
LEP,0.00021099759935648674,gene/protein
CPT1A,0.0002109915782623869,gene/protein
