node,degree_centrality,node_type
ETS1,0.14677310762720014,gene/protein
EGFR,0.07261710108685197,gene/protein
hepatocellular carcinoma,0.06309512359334424,disease
X-linked intellectual disability,0.05357314609983649,disease
RELA,0.04703279792247764,gene/protein
NFKB1,0.042704626334519574,gene/protein
HNF4A,0.03741463883812638,gene/protein
SOD1,0.035010099067038565,gene/protein
TNF,0.03443300952197749,gene/protein
ATF3,0.03404828315860344,gene/protein
CASP8,0.02972011157064538,gene/protein
SIRT1,0.029335385207271327,gene/protein
TGFB1,0.027700298162931614,gene/protein
type 2 diabetes mellitus,0.02683466384534,disease
PPARG,0.02558430316437434,gene/protein
BCL2,0.024814850437626237,gene/protein
diabetes mellitus (disease),0.022506492257381938,disease
retinitis pigmentosa,0.02183322112147735,disease
autosomal recessive spinocerebellar ataxia,0.021448494758103297,disease
CASP3,0.02115994998557276,gene/protein
obesity disorder,0.02039049725882466,effect/phenotype
PAX6,0.0199095893046071,gene/protein
PPARGC1A,0.0199095893046071,gene/protein
Immunodeficiency,0.019332499759546023,immune_effect/phenotype
TNFRSF1A,0.019332499759546023,gene/protein
PTPN1,0.018755410214484947,gene/protein
BCL2L1,0.018659228623641434,gene/protein
INSR,0.018082139078580358,gene/protein
PRKCB,0.017985957487736848,gene/protein
AKT2,0.017601231124362796,gene/protein
PPARA,0.01731268635183226,gene/protein
HMGA1,0.01702414157930172,gene/protein
PSMD6,0.016350870443397135,gene/protein
INS,0.015389054534962008,gene/protein
BRAF,0.015292872944118496,gene/protein
NOS3,0.014908146580744444,gene/protein
IRS1,0.014908146580744444,gene/protein
ADIPOQ,0.014811964989900932,gene/protein
MTNR1B,0.014811964989900932,gene/protein
microcephalic osteodysplastic primordial dwarfism,0.01433105703568337,disease
GLP1R,0.013273059536404732,gene/protein
HMOX1,0.013273059536404732,gene/protein
LEP,0.013080696354717706,gene/protein
alpha-mannosidosis,0.012984514763874194,disease
FAS,0.01279215158218717,gene/protein
EDN1,0.012503606809656632,gene/protein
ATP2A2,0.012407425218813118,gene/protein
NOTCH2,0.012407425218813118,gene/protein
ICAM1,0.011830335673752043,gene/protein
BCL2L11,0.011637972492065019,gene/protein
HMG20A,0.011445609310377993,gene/protein
ID1,0.010964701356160431,gene/protein
NOS2,0.010676156583629894,gene/protein
SOD2,0.010483793401942868,gene/protein
monosomy X,0.010291430220255842,disease
TCF7L2,0.01019524862941233,gene/protein
NEUROD1,0.010099067038568818,gene/protein
IRS2,0.010099067038568818,gene/protein
CCND2,0.00981052226603828,gene/protein
mosaic monosomy X,0.00981052226603828,disease
C3,0.009329614311820717,gene/protein
SLC30A8,0.009233432720977205,gene/protein
INPPL1,0.009041069539290179,gene/protein
SMAD5,0.008944887948446667,gene/protein
UBE2E2,0.008848706357603155,gene/protein
VPS26A,0.00865634317591613,gene/protein
CISD2,0.008463979994229105,gene/protein
HNF1A,0.008367798403385591,gene/protein
CAT,0.008079253630855054,gene/protein
PROX1,0.007694527267481004,gene/protein
