node,betweeness_centrality,node_type
Interleukin-1 signaling,0.0,pathway
Regulation of RUNX3 expression and activity,0.0,pathway
Orc1 removal from chromatin,0.0,pathway
Degradation of DVL,0.0,pathway
Asymmetric localization of PCP proteins,0.0,pathway
CDT1 association with the CDC6:ORC:origin complex,0.0,pathway
Hh mutants are degraded by ERAD,0.0,pathway
Dectin-1 mediated noncanonical NF-kB signaling,0.0,pathway
Hedgehog ligand biogenesis,0.0,pathway
FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,0.0,pathway
The role of GTSE1 in G2/M progression after G2 checkpoint,0.0,pathway
Degradation of GLI1 by the proteasome,0.0,pathway
SIRT1 negatively regulates rRNA expression,0.0,pathway
Regulation of activated PAK-2p34 by proteasome mediated degradation,0.0,pathway
FCERI mediated NF-kB activation,0.0,pathway
Regulation of RAS by GAPs,0.0,pathway
Ub-specific processing proteases,0.0,pathway
Regulation of TNFR1 signaling,0.0,pathway
TNFR1-mediated ceramide production,0.0,pathway
TNFR1-induced NFkappaB signaling pathway,0.0,pathway
Degradation of GLI2 by the proteasome,0.0,pathway
GLI3 is processed to GLI3R by the proteasome,0.0,pathway
RUNX1 regulates transcription of genes involved in differentiation of HSCs,0.0,pathway
ROS sensing by NFE2L2,0.0,pathway
Regulation of expression of SLITs and ROBOs,0.0,pathway
TNF signaling,0.0,pathway
TNFR1-induced proapoptotic signaling,0.0,pathway
Degradation of the extracellular matrix,0.0,pathway
O-glycosylation of TSR domain-containing proteins,0.0,pathway
NOSIP mediated eNOS trafficking,0.0,pathway
VEGFR2 mediated vascular permeability,0.0,pathway
TNFs bind their physiological receptors,0.0,pathway
NOSTRIN mediated eNOS trafficking,0.0,pathway
eNOS activation,0.0,pathway
"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",0.0,pathway
WNT5A-dependent internalization of FZD4,0.0,pathway
Depolymerisation of the Nuclear Lamina,0.0,pathway
Trafficking of GluR2-containing AMPA receptors,0.0,pathway
Inhibition of nitric oxide production,0.0,pathway
TNFR2 non-canonical NF-kB pathway,0.0,pathway
Interleukin-10 signaling,0.0,pathway
Neddylation,0.0,pathway
CDK-mediated phosphorylation and removal of Cdc6,0.0,pathway
Ubiquitin Mediated Degradation of Phosphorylated Cdc25A,0.0,pathway
Ubiquitin-dependent degradation of Cyclin D,0.0,pathway
Hedgehog 'on' state,0.0,pathway
Regulation of ornithine decarboxylase (ODC),0.0,pathway
