node,degree_centrality,node_type
Interleukin-4 and Interleukin-13 signaling,0.000820411846747067,pathway
Regulation of gene expression in beta cells,0.000820411846747067,pathway
Transcriptional regulation of white adipocyte differentiation,0.000820411846747067,pathway
Neutrophil degranulation,0.0007383706620723603,pathway
ADORA2B mediated anti-inflammatory cytokines production,0.0004922471080482402,pathway
Regulation of insulin secretion,0.0004922471080482402,pathway
"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",0.0004922471080482402,pathway
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",0.0004922471080482402,pathway
G alpha (s) signalling events,0.0004922471080482402,pathway
Heme signaling,0.0004102059233735335,pathway
Peptide ligand-binding receptors,0.0004102059233735335,pathway
G alpha (q) signalling events,0.0004102059233735335,pathway
"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",0.0004102059233735335,pathway
Interleukin-10 signaling,0.0004102059233735335,pathway
Detoxification of Reactive Oxygen Species,0.0004102059233735335,pathway
PIP3 activates AKT signaling,0.0004102059233735335,pathway
Cellular hexose transport,0.0003281647386988268,pathway
Signaling by BRAF and RAF fusions,0.0003281647386988268,pathway
Glucagon-type ligand receptors,0.0003281647386988268,pathway
G alpha (i) signalling events,0.0003281647386988268,pathway
Constitutive Signaling by Aberrant PI3K in Cancer,0.0003281647386988268,pathway
Activation of NF-kappaB in B cells,0.0003281647386988268,pathway
IRS activation,0.0003281647386988268,pathway
Signal attenuation,0.0003281647386988268,pathway
PPARA activates gene expression,0.0003281647386988268,pathway
RAF/MAP kinase cascade,0.0003281647386988268,pathway
Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,0.0003281647386988268,pathway
Signaling by Leptin,0.0003281647386988268,pathway
Purinergic signaling in leishmaniasis infection,0.0003281647386988268,pathway
Downstream TCR signaling,0.0003281647386988268,pathway
TNFR1-induced proapoptotic signaling,0.0002461235540241201,pathway
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,0.0002461235540241201,pathway
Regulation of TNFR1 signaling,0.0002461235540241201,pathway
Estrogen-dependent nuclear events downstream of ESR-membrane signaling,0.0002461235540241201,pathway
ROS and RNS production in phagocytes,0.0002461235540241201,pathway
Antigen processing: Ubiquitination & Proteasome degradation,0.0002461235540241201,pathway
Cytoprotection by HMOX1,0.0002461235540241201,pathway
MAP2K and MAPK activation,0.0002461235540241201,pathway
"Synthesis, secretion, and deacylation of Ghrelin",0.0002461235540241201,pathway
Interleukin-1 signaling,0.0002461235540241201,pathway
Insulin processing,0.0002461235540241201,pathway
PI3K Cascade,0.0002461235540241201,pathway
Ion homeostasis,0.0002461235540241201,pathway
Regulation of gene expression in early pancreatic precursor cells,0.0002461235540241201,pathway
FCERI mediated NF-kB activation,0.0002461235540241201,pathway
The NLRP3 inflammasome,0.0002461235540241201,pathway
Extra-nuclear estrogen signaling,0.0002461235540241201,pathway
Glucagon signaling in metabolic regulation,0.0002461235540241201,pathway
Signaling by RAF1 mutants,0.0002461235540241201,pathway
Signaling by moderate kinase activity BRAF mutants,0.0002461235540241201,pathway
Paradoxical activation of RAF signaling by kinase inactive BRAF,0.0002461235540241201,pathway
Signaling downstream of RAS mutants,0.0002461235540241201,pathway
Signaling by high-kinase activity BRAF mutants,0.0002461235540241201,pathway
Platelet degranulation ,0.0002461235540241201,pathway
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.0002461235540241201,pathway
Transcriptional Regulation by VENTX,0.0002461235540241201,pathway
Pre-NOTCH Processing in Golgi,0.0002461235540241201,pathway
Post-translational protein phosphorylation,0.0002461235540241201,pathway
CLEC7A/inflammasome pathway,0.0002461235540241201,pathway
Nuclear Receptor transcription pathway,0.0002461235540241201,pathway
G alpha (z) signalling events,0.0002461235540241201,pathway
Degradation of the extracellular matrix,0.0002461235540241201,pathway
TNFR2 non-canonical NF-kB pathway,0.0002461235540241201,pathway
Growth hormone receptor signaling,0.0002461235540241201,pathway
CLEC7A (Dectin-1) signaling,0.0002461235540241201,pathway
Transcriptional activation of mitochondrial biogenesis,0.0002461235540241201,pathway
Circadian Clock,0.0002461235540241201,pathway
Scavenging of heme from plasma,0.0002461235540241201,pathway
Ion transport by P-type ATPases,0.0001640823693494134,pathway
Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC),0.0001640823693494134,pathway
Glycolysis,0.0001640823693494134,pathway
CD209 (DC-SIGN) signaling,0.0001640823693494134,pathway
RIP-mediated NFkB activation via ZBP1,0.0001640823693494134,pathway
Regulated proteolysis of p75NTR,0.0001640823693494134,pathway
TRAF6 mediated NF-kB activation,0.0001640823693494134,pathway
NF-kB is activated and signals survival,0.0001640823693494134,pathway
Senescence-Associated Secretory Phenotype (SASP),0.0001640823693494134,pathway
DEx/H-box helicases activate type I IFN and inflammatory cytokines production ,0.0001640823693494134,pathway
IkBA variant leads to EDA-ID,0.0001640823693494134,pathway
Interleukin-1 processing,0.0001640823693494134,pathway
Activation of BAD and translocation to mitochondria ,0.0001640823693494134,pathway
PKMTs methylate histone lysines,0.0001640823693494134,pathway
TAK1 activates NFkB by phosphorylation and activation of IKKs complex,0.0001640823693494134,pathway
Other interleukin signaling,0.0001640823693494134,pathway
Regulation by c-FLIP,0.0001640823693494134,pathway
Caspase activation via Death Receptors in the presence of ligand,0.0001640823693494134,pathway
Dimerization of procaspase-8,0.0001640823693494134,pathway
Glutamate Neurotransmitter Release Cycle,0.0001640823693494134,pathway
CASP8 activity is inhibited,0.0001640823693494134,pathway
FasL/ CD95L signaling,0.0001640823693494134,pathway
RIPK1-mediated regulated necrosis,0.0001640823693494134,pathway
Regulation of Glucokinase by Glucokinase Regulatory Protein,0.0001640823693494134,pathway
Reduction of cytosolic Ca++ levels,0.0001640823693494134,pathway
IRS-mediated signalling,0.0001640823693494134,pathway
RORA activates gene expression,0.0001640823693494134,pathway
Insulin receptor recycling,0.0001640823693494134,pathway
Interferon gamma signaling,0.0001640823693494134,pathway
Nitric oxide stimulates guanylate cyclase,0.0001640823693494134,pathway
Peroxisomal protein import,0.0001640823693494134,pathway
SOS-mediated signalling,0.0001640823693494134,pathway
FLT3 Signaling,0.0001640823693494134,pathway
RHO GTPases Activate NADPH Oxidases,0.0001640823693494134,pathway
Signaling by Insulin receptor,0.0001640823693494134,pathway
Insulin receptor signalling cascade,0.0001640823693494134,pathway
Interleukin-7 signaling,0.0001640823693494134,pathway
PI3K/AKT activation,0.0001640823693494134,pathway
HCMV Early Events,0.0001640823693494134,pathway
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,0.0001640823693494134,pathway
IRS-related events triggered by IGF1R,0.0001640823693494134,pathway
Sulfur amino acid metabolism,0.0001640823693494134,pathway
Amyloid fiber formation,0.0001640823693494134,pathway
Oncogene Induced Senescence,0.0001640823693494134,pathway
RAF activation,0.0001640823693494134,pathway
tRNA modification in the nucleus and cytosol,0.0001640823693494134,pathway
Signaling by MRAS-complex mutants,0.0001640823693494134,pathway
Regulation of RUNX3 expression and activity,0.0001640823693494134,pathway
Ca2+ pathway,0.0001640823693494134,pathway
"Adrenaline,noradrenaline inhibits insulin secretion",0.0001640823693494134,pathway
Ub-specific processing proteases,0.0001640823693494134,pathway
Apoptotic cleavage of cellular proteins,0.0001640823693494134,pathway
Caspase-mediated cleavage of cytoskeletal proteins,0.0001640823693494134,pathway
Regulation of PTEN stability and activity,0.0001640823693494134,pathway
Integrin cell surface interactions,0.0001640823693494134,pathway
ABC-family proteins mediated transport,0.0001640823693494134,pathway
ATP sensitive Potassium channels,0.0001640823693494134,pathway
Defective ABCC8 can cause hypo- and hyper-glycemias,0.0001640823693494134,pathway
UCH proteinases,0.0001640823693494134,pathway
Regulation of RUNX2 expression and activity,0.0001640823693494134,pathway
Synthesis of PIPs at the plasma membrane,0.0001640823693494134,pathway
SUMOylation of intracellular receptors,0.0001640823693494134,pathway
Deactivation of the beta-catenin transactivating complex,0.0001640823693494134,pathway
TNFs bind their physiological receptors,0.0001640823693494134,pathway
