node,betweeness_centrality,node_type
Increased antibiotic exposure,0.1915215700688847,effect/phenotype
Recurrent bacterial infections,0.12404516952464101,effect/phenotype
tetracycline,0.11250651761713402,drug_class
type 2 diabetes mellitus,0.10515324907504107,disease
Increased risk of pathogen mutation,0.06740165615913188,effect/phenotype
Hyperglycemia,0.067387235482358,effect/phenotype
Immunodeficiency,0.06447631664460429,immune_effect/phenotype
Recurrent bacterial skin infections,0.06174695689760509,effect/phenotype
MAPK14,0.05135981875192899,gene/protein
ETS1,0.04812486250886394,gene/protein
cephalosporin,0.045563575139855705,drug_class
NFKB1,0.03282813072333249,gene/protein
Penetrating foot ulcers,0.030468406175185928,disease
hepatocellular carcinoma,0.029486431002538515,disease
CASP3,0.02815683979578091,gene/protein
cellulitis (disease),0.026357459887218156,disease
GLUL,0.024987755590084402,gene/protein
EGFR,0.023138507187740905,gene/protein
Klebsiella pneumoniae,0.02142108033215148,bacteria
SOD1,0.021149168457856426,gene/protein
Pseudomonas aeruginosa,0.02078409398689319,bacteria
ALB,0.015545306454435533,gene/protein
Staphylococcus aureus,0.014380013381178565,bacteria
X-linked intellectual disability,0.014142028298511305,disease
RELA,0.013526482505062627,gene/protein
peptide,0.012423316321500514,drug_class
HNF4A,0.012206047138457425,gene/protein
UBC,0.009813842115084443,gene/protein
NOS2,0.009679119747937866,gene/protein
CASP1,0.009299421271300706,gene/protein
SIRT1,0.009119037698750087,gene/protein
TNF,0.008530371800521123,gene/protein
retinitis pigmentosa,0.008244323460707696,disease
A2M,0.0074740133350028335,gene/protein
fluoroquinolone,0.006990514162069721,drug_class
TGFB1,0.006950720864005642,gene/protein
PRKCB,0.006867754600680919,gene/protein
PPARG,0.006479263355942069,gene/protein
CASP8,0.006247873991672262,gene/protein
CYP1A2,0.00555563500707739,gene/protein
PPARGC1A,0.0053326725643490685,gene/protein
PAX6,0.004995635881412561,gene/protein
folliculitis,0.004901898550234508,disease
PTPN1,0.0048621824203211724,gene/protein
IDE,0.004765844662760148,gene/protein
Enterococcus faecalis,0.004757938947707223,bacteria
autosomal recessive spinocerebellar ataxia,0.004730350007643978,disease
PSMD6,0.004638719610769377,gene/protein
TNFRSF1A,0.004530363954482221,gene/protein
INSR,0.004365070216098913,gene/protein
aminoglycoside,0.0043587117597148305,drug_class
CISD2,0.0043261185159920446,gene/protein
HMGA1,0.004094785653125028,gene/protein
HMG20A,0.003981533946924032,gene/protein
SLC30A8,0.0038900755092975653,gene/protein
EPHA4,0.0037624326731489264,gene/protein
MMP9,0.0036963107213159397,gene/protein
BCL2L11,0.003678034492905757,gene/protein
ADIPOQ,0.0035295283273710444,gene/protein
NOS3,0.0033900086751471594,gene/protein
MTNR1B,0.0032923344578681736,gene/protein
MAPK1,0.0032243931816132543,gene/protein
diabetes mellitus (disease),0.0030578027846578223,disease
VPS26A,0.0029873831735055165,gene/protein
STUB1,0.0029653831240935165,gene/protein
HMGA2,0.002915650681947061,gene/protein
CASR,0.002913229482573733,gene/protein
SOD2,0.00289290568260857,gene/protein
rifamycin,0.002856115603816814,drug_class
penam,0.0027201369659290704,drug_class
INS,0.00259781752943656,gene/protein
UBE2E2,0.0025653450317074376,gene/protein
HSP90AA1,0.0025567988978674426,gene/protein
microcephalic osteodysplastic primordial dwarfism,0.0025376261203491797,disease
LEP,0.002496117835666284,gene/protein
monosomy X,0.002485043720041781,disease
IRS2,0.0024800065742581166,gene/protein
HNF1A,0.002476563701913732,gene/protein
PPARA,0.0024493777947855715,gene/protein
macrolide,0.0023397631478875606,drug_class
ELAVL1,0.0022709313082120816,gene/protein
HUWE1,0.0022239486301126716,gene/protein
IL1B,0.0021471845648750637,gene/protein
HTT,0.002141726614598284,gene/protein
USP9X,0.0021282475519149202,gene/protein
NFYC,0.0021193680349259176,gene/protein
ICAM1,0.0021184630043869597,gene/protein
sulfonamide,0.0021181988880708135,drug_class
NOTCH2,0.002100004018235703,gene/protein
HMOX1,0.0020987720773404006,gene/protein
CTNNB1,0.0020636843915999028,gene/protein
phenicol,0.0020552698566178615,drug_class
SHBG,0.00202949454144285,gene/protein
SNAP25,0.002019501952166436,gene/protein
neonatal diabetes mellitus,0.0019731633385960054,disease
ID1,0.00196287358416405,gene/protein
carbapenem,0.001947501154356395,drug_class
Recurrent infections,0.0019181476464023507,effect/phenotype
TCF7L2,0.001828940462031786,gene/protein
FTO,0.0017283782686524799,gene/protein
MAPK8IP1,0.0017098380602255828,gene/protein
THADA,0.0016890403117865412,gene/protein
NAT1,0.0016561140655456646,gene/protein
lipodystrophy,0.001632381573687776,disease
ABCC2,0.0016136502613436025,gene/protein
RNU4ATAC,0.0016125680134022838,gene/protein
SMAD5,0.0016097559808849742,gene/protein
MIRLET7D,0.0015884090008146828,gene/protein
EGR1,0.001579363701774815,gene/protein
USP48,0.0015567744722289624,gene/protein
STAT1,0.0015525205088787958,gene/protein
IKBKG,0.0015276363941480312,gene/protein
RNF6,0.001522307903404527,gene/protein
GNB3,0.0015137636379473657,gene/protein
AURKA,0.0015022470131203722,gene/protein
SP1,0.0014847765160668207,gene/protein
KCNQ1,0.001432737279997132,gene/protein
SLC2A1,0.0014147546639648747,gene/protein
OprM,0.001362586069611369,resistance_gene
Pseudomonas aeruginosa CpxR,0.0013621068645732373,resistance_gene
mexR,0.0013533648981698797,resistance_gene
MexB,0.0013532151265618667,resistance_gene
nalD,0.0013532151265618667,resistance_gene
nalC,0.0013532151265618667,resistance_gene
MexA,0.0013532151265618667,resistance_gene
ArmR,0.0013532151265618667,resistance_gene
INPPL1,0.0013516963322049377,gene/protein
GATA2,0.0013479339015686786,gene/protein
WFS1,0.0012888207836978085,gene/protein
TolC,0.0012723141867628128,resistance_gene
congenital bile acid synthesis defect,0.0012682632393584289,disease
CDK2,0.0012378728654863893,gene/protein
Klebsiella pneumoniae KpnE,0.0012358972442477972,resistance_gene
Klebsiella pneumoniae KpnF,0.0012358945800203319,resistance_gene
maturity-onset diabetes of the young,0.0012219467820655517,disease
PROX1,0.0012133213776877804,gene/protein
BCL10,0.0011991286876811297,gene/protein
MAEA,0.0011786357978008227,gene/protein
mgrA,0.0011633993291085786,resistance_gene
PRDX4,0.0011547380597797597,gene/protein
Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to amikacin,0.0011507652798596409,resistance_gene
Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to streptomycin,0.0011507652798596409,resistance_gene
Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to capreomycin,0.0011507652798596409,resistance_gene
Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to viomycin,0.0011507652798596409,resistance_gene
Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to kanamycin,0.0011507652798596409,resistance_gene
Escherichia coli 16S rRNA (rrsC) mutation conferring resistance to kasugamicin,0.0011506640002863038,resistance_gene
adeN,0.0011420993738145732,resistance_gene
adeI,0.0011420972452211352,resistance_gene
adeJ,0.0011420972452211352,resistance_gene
adeK,0.0011420972452211352,resistance_gene
YajC,0.0011402707272069853,resistance_gene
Escherichia coli soxS with mutation conferring antibiotic resistance,0.0011369258620820802,resistance_gene
marA,0.0011367760904740694,resistance_gene
ramA,0.0011367743350707347,resistance_gene
AcrS,0.0011334152729582908,resistance_gene
Escherichia coli marR mutant conferring antibiotic resistance,0.0011333627735037894,resistance_gene
Pseudomonas aeruginosa soxR,0.0011333615537344824,resistance_gene
Klebsiella pneumoniae ramR mutants,0.0011333610181004541,resistance_gene
Klebsiella pneumoniae acrR with mutation conferring multidrug antibiotic resistance,0.0011333610181004541,resistance_gene
Escherichia coli acrR with mutation conferring multidrug antibiotic resistance,0.0011333606449103514,resistance_gene
Escherichia coli soxR with mutation conferring antibiotic resistance,0.0011333606449103514,resistance_gene
acrB,0.0011332108733023258,resistance_gene
Escherichia coli acrA,0.0011332108733023258,resistance_gene
GATA1,0.0011183436755895315,gene/protein
PRKCA,0.0010812967487151203,gene/protein
ParR,0.0010783453391721093,resistance_gene
ParS,0.0010783453391721093,resistance_gene
MexD,0.0010757589403256468,resistance_gene
OprJ,0.0010757589403256468,resistance_gene
MexC,0.0010757589403256468,resistance_gene
MexZ,0.0010750206290344245,resistance_gene
mexY,0.0010750206290344245,resistance_gene
MAPK11,0.001073103164697454,gene/protein
Type A NfxB,0.001066867202314246,resistance_gene
oqxA,0.0010640589990670542,resistance_gene
oqxB,0.0010640589990670542,resistance_gene
NUS1,0.0010618471776661976,gene/protein
MexW,0.0010579828238818107,resistance_gene
MexV,0.0010579828238818107,resistance_gene
OprA,0.0010529965533532663,resistance_gene
H-NS,0.0010521841446831316,resistance_gene
CD55,0.001046649219833638,gene/protein
IRS1,0.001046088394273076,gene/protein
KCNK16,0.0010456782513465139,gene/protein
mdeA,0.0010446202466203784,resistance_gene
evgA,0.001044112862269592,resistance_gene
evgS,0.0010441107336761535,resistance_gene
narcolepsy,0.0010387794154452454,disease
adeF,0.0010384339405075558,resistance_gene
mexP,0.0010379062447726927,resistance_gene
opmE,0.0010379062447726927,resistance_gene
mexQ,0.0010379062447726927,resistance_gene
OpmD,0.0010356465091574231,resistance_gene
MexH,0.0010356465091574231,resistance_gene
MexI,0.0010356465091574231,resistance_gene
MexG,0.0010356465091574231,resistance_gene
adeG,0.001035166253249947,resistance_gene
adeH,0.001035166253249947,resistance_gene
adeL,0.001035166253249947,resistance_gene
NEUROD1,0.0010335886655179944,gene/protein
poxtA,0.0010315659613406199,resistance_gene
OpmB,0.001024678240124487,resistance_gene
MuxA,0.001024678240124487,resistance_gene
MuxC,0.001024678240124487,resistance_gene
MuxB,0.001024678240124487,resistance_gene
EstT,0.0010243638220300728,resistance_gene
UCP2,0.001024259357450047,gene/protein
MexJ,0.0010240325124447349,resistance_gene
MexK,0.0010240325124447349,resistance_gene
MexL,0.0010240325124447349,resistance_gene
MAPK8,0.0010219610281832965,gene/protein
NFKBIA,0.0010188123974038794,gene/protein
tet(C),0.0010179436735860959,resistance_gene
tet(Q),0.0010174669974796313,resistance_gene
mepR,0.0010156157257605752,resistance_gene
mepA,0.0010156157257605752,resistance_gene
adeC,0.0010155986799729132,resistance_gene
adeA,0.0010155986799729132,resistance_gene
